124,2002-5,,2020-12-07 02:40:17.698917+00,,1,awlr,,,,,,,2020-12-07 02:40:17.698917+00,,
125,2002-2,,2020-12-07 02:40:46.868828+00,,1,awlr,,,,,,,2020-12-07 02:40:46.868828+00,,
126,2002-1,,2020-12-07 04:37:15.301796+00,,1,awlr,,,,,,,2020-12-07 04:37:15.301796+00,,
127,2002-3,,2020-12-07 04:37:27.449444+00,,1,awlr,,,,,,,2020-12-07 04:37:27.449444+00,,
128,2002-4,,2020-12-07 04:37:43.465962+00,,1,awlr,,,,,,,2020-12-07 04:37:43.465962+00,,
3,1809-2,,,2018-12-09 23:40:01.961125+00,1,arr,,,,,,,,2018-12-09 23:40:01.961125+00,
4,1809-3,,,2018-12-09 23:40:34.58931+00,1,arr,,,,,,,,2018-12-09 23:40:34.58931+00,
5,1811-2,,2018-12-09 23:41:19.13489+00,,2,arr,,,,,,,2018-12-09 23:41:19.13489+00,,
101,1910-26,53,2020-06-25 03:42:38.545634+00,,15,arr,,,,0.5,,,2020-06-25 03:42:38.545634+00,,
105,2008-1,,2020-08-18 07:03:25.179614+00,2021-10-11 04:32:31+00,27,arr,,,,,,,2020-08-18 07:03:25.179614+00,,
107,2008-3,,2020-08-18 07:06:51.002408+00,2021-10-12 06:15:36+00,27,arr,,,,,,,2020-08-18 07:06:51.002408+00,,
106,2008-2,,2020-08-18 07:06:32.048016+00,2021-10-11 23:20:52+00,27,arr,,,,0.2,,,2020-08-18 07:06:32.048016+00,,
53,1906-4,,2019-09-23 01:48:54.237473+00,,9,arr,,,,0.2,,,2019-09-23 01:48:54.237473+00,,
57,1909-6,,2019-09-23 05:23:45.382265+00,2021-10-13 04:42:46+00,27,arr,,,,0.2,,,2019-09-23 05:23:45.382265+00,,
56,1906-7,,2019-09-23 01:49:44.774247+00,2022-01-31 06:37:42+00,9,awlr,,,,,,,2019-09-23 01:49:44.774247+00,,
52,1906-3,,2019-09-23 01:48:36.96424+00,,9,arr,,,,0.2,,,2019-09-23 01:48:36.96424+00,,
123,2011-2,,2020-12-04 07:54:33.884902+00,,9,awlr,,,,,4473,,2020-12-04 07:54:33.884902+00,,
122,2011-1,,2020-12-04 07:53:22.539977+00,,9,arr,,,,0.2,,,2020-12-04 07:53:22.539977+00,,
55,1906-6,,2019-09-23 01:49:27.898926+00,2022-01-31 06:38:17+00,9,awlr,,,,,5772,,2019-09-23 01:49:27.898926+00,,
