primaBot/2207-2/0.8 AWLR/data/m_2022Jul.csv,,,,,,
sampling,up_since,batt,signal_quality,distance,sensor_height,sensor_resolution
2022-07-1T07:55:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T08:00:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T08:05:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T08:10:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T08:15:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T08:20:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T08:25:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T08:30:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T08:35:00+07,2022-06-28T14:00:36+07,12.1,13,9999,1000,0.1
2022-07-1T08:40:00+07,2022-06-28T14:00:36+07,12.1,12,9999,1000,0.1
2022-07-1T08:45:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T08:50:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T08:55:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T09:00:00+07,2022-06-28T14:00:36+07,12.1,13,9999,1000,0.1
2022-07-1T09:05:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T09:10:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T09:15:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T09:20:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T09:25:00+07,2022-06-28T14:00:36+07,12.1,13,9999,1000,0.1
2022-07-1T09:30:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T09:35:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T09:40:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T09:45:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T09:50:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T09:55:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T10:00:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T10:05:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T10:10:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T10:15:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T10:20:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T10:25:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T10:30:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T10:35:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T10:40:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T10:45:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T10:50:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T10:55:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T11:00:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T11:05:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T11:10:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T11:15:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T11:20:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T11:25:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T11:30:00+07,2022-06-28T14:00:36+07,12.2,12,9999,1000,0.1
2022-07-1T11:35:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T11:40:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T11:45:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T11:50:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T11:55:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T12:00:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T12:05:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T12:10:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T12:15:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T12:20:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T12:25:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T12:30:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T12:35:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T12:40:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T12:45:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T12:50:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T12:55:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T13:00:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T13:05:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T13:10:00+07,2022-06-28T14:00:36+07,12.2,13,9999,1000,0.1
2022-07-1T13:15:00+07,2022-06-28T14:00:36+07,12.2,14,9999,1000,0.1
2022-07-1T15:30:00+07,2022-07-01T15:25:51+07,12.3,16,156,1000,0.1
2022-07-1T15:35:00+07,2022-07-01T15:25:51+07,12.3,15,156,1000,0.1
2022-07-1T15:40:00+07,2022-07-01T15:25:51+07,12.3,15,156,1000,0.1
2022-07-1T15:45:00+07,2022-07-01T15:25:51+07,12.3,15,156,1000,0.1
2022-07-1T15:50:00+07,2022-07-01T15:25:51+07,12.4,17,156,1000,0.1
2022-07-1T15:55:00+07,2022-07-01T15:25:51+07,12.4,17,156,1000,0.1
2022-07-1T16:00:00+07,2022-07-01T15:25:51+07,12.4,10,156,1000,0.1
2022-07-1T16:05:00+07,2022-07-01T15:25:51+07,12.4,16,156,1000,0.1
2022-07-1T16:10:00+07,2022-07-01T15:25:51+07,12.4,16,155,1000,0.1
2022-07-1T16:15:00+07,2022-07-01T15:25:51+07,12.4,17,156,1000,0.1
2022-07-1T16:20:00+07,2022-07-01T15:25:51+07,12.4,16,155,1000,0.1
2022-07-1T16:25:00+07,2022-07-01T15:25:51+07,12.4,16,155,1000,0.1
2022-07-1T16:30:00+07,2022-07-01T15:25:51+07,12.4,16,155,1000,0.1
2022-07-1T16:35:00+07,2022-07-01T15:25:51+07,12.4,16,155,1000,0.1
2022-07-1T16:45:00+07,2022-07-01T16:41:09+07,12.4,15,155,1000,0.1
2022-07-1T16:50:00+07,2022-07-01T16:41:09+07,12.4,16,155,1000,0.1
2022-07-1T16:55:00+07,2022-07-01T16:41:09+07,12.4,16,156,1000,0.1
2022-07-1T17:00:00+07,2022-07-01T16:41:09+07,12.3,11,209,1000,0.1
2022-07-1T17:05:00+07,2022-07-01T16:41:09+07,12.4,15,156,1000,0.1
2022-07-1T17:10:00+07,2022-07-01T16:41:09+07,12.4,17,261,1000,0.1
2022-07-1T17:15:00+07,2022-07-01T16:41:09+07,12.4,16,156,1000,0.1
2022-07-1T17:20:00+07,2022-07-01T16:41:09+07,12.4,16,33,1000,0.1
2022-07-1T17:25:00+07,2022-07-01T16:41:09+07,12.4,17,33,1000,0.1
2022-07-1T17:30:00+07,2022-07-01T16:41:09+07,12.4,14,33,1000,0.1
