primaBot/2207-1/0.8 ARR/data/m_2022Jun.csv
sampling,up_since,batt,signal_quality,tick,tipping_factor
"2022-06-11T01:30:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:35:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:40:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:45:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:50:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T01:55:00+07", "2022-06-10T17:19:07+07",12.2, 4, 0, 0.2
"2022-06-11T02:00:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:05:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:10:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:20:00+07", "2022-06-10T17:19:07+07",12.2, 11, 0, 0.2
"2022-06-11T02:25:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:30:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:35:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:40:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:45:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:50:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T02:55:00+07", "2022-06-10T17:19:07+07",12.2, 4, 0, 0.2
"2022-06-11T03:05:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:10:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:20:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:25:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:30:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:35:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:40:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:45:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:50:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T03:55:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:00:00+07", "2022-06-10T17:19:07+07",12.2, 4, 0, 0.2
"2022-06-11T04:05:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:10:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:20:00+07", "2022-06-10T17:19:07+07",12.2, 11, 0, 0.2
"2022-06-11T04:25:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:30:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:35:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:40:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:45:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:50:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T04:55:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T05:00:00+07", "2022-06-10T17:19:07+07",12.2, 7, 0, 0.2
"2022-06-11T05:05:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T05:10:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T05:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T05:20:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T05:25:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T05:30:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T05:35:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T05:40:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T05:45:00+07", "2022-06-10T17:19:07+07",12.2, 12, 2, 0.2
"2022-06-11T05:50:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T05:55:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:00:00+07", "2022-06-10T17:19:07+07",12.2, 11, 0, 0.2
"2022-06-11T06:05:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:10:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:20:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:25:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:30:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:35:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:40:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:45:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
